0;1;2;3;4;5;6;7;8;tabela_origem;arquivo_origem;ano_origem;9;
Ciência da Computação - Bacharelado - integral - Bauru;30;6;0;1;2;5;7;;5;2018-47-58.pdf;2018;;
Engenharia Civil - integral - Bauru;60;4;2;2;4;4;8;;5;2018-47-58.pdf;2018;;
Engenharia Elétrica - integral - Bauru;60;2;0;3;4;1;5;;5;2018-47-58.pdf;2018;;
Engenharia Mecânica - integral - Bauru;60;4;4;7;16;0;16;;5;2018-47-58.pdf;2018;;
noturno - Bauru;;;;;;;;;5;2018-47-58.pdf;2018;;
Matemática - Licenciatura - noturno - Bauru;40;8;1;3;3;9;12;;5;2018-47-58.pdf;2018;;
Meteorologia - Bacharelado - integral - Bauru;40;4;0;0;2;2;4;;5;2018-47-58.pdf;2018;;
noturno - Bauru;;;;;;;;;5;2018-47-58.pdf;2018;;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;5;1;2;7;1;8;;5;2018-47-58.pdf;2018;;
Ciência da Computação - Bacharelado - integral - Bauru;30;0;0;1;1;0;1;;6;2018-47-58.pdf;2018;;
